glucose_level,meal,food_type,food_amount,exercise_duration,medication,body_temp,heart_rate,time_of_day,insulin_required
148,snack,mixed,175,29,no,36.8,113,evening,11.6
98,dinner,mixed,221,84,no,36.2,98,evening,16.3
98,lunch,carbs,577,5,no,36.6,60,night,18.1
190,lunch,mixed,315,5,yes,35.8,85,evening,12.9
80,snack,protein,532,51,yes,35.8,88,night,12.1
233,breakfast,mixed,265,15,no,37.2,112,night,6.8
158,lunch,protein,236,6,no,37.0,118,night,7.1
223,dinner,protein,457,42,no,35.8,63,evening,12.2
133,lunch,mixed,558,5,yes,36.7,118,morning,19.6
132,dinner,carbs,464,65,no,35.5,72,afternoon,14.7
89,snack,protein,528,76,no,36.0,68,evening,4.4
150,snack,fats,322,23,yes,36.1,97,evening,17.7
80,dinner,carbs,248,37,no,36.6,105,afternoon,8.9
190,snack,fats,538,14,no,36.8,114,morning,19.9
102,snack,protein,160,75,yes,36.2,115,morning,8.5
102,lunch,mixed,275,62,yes,36.6,70,night,12.4
132,snack,mixed,273,25,yes,36.8,100,night,3.1
160,breakfast,carbs,573,7,yes,35.0,69,morning,10.6
151,dinner,carbs,323,9,yes,36.6,118,night,16.6
195,lunch,fats,448,5,no,35.7,95,afternoon,16.7
125,lunch,protein,347,85,no,36.4,107,evening,15.8
225,dinner,carbs,592,59,no,36.9,112,night,19.5
240,breakfast,carbs,393,25,no,36.5,68,evening,19.5
241,breakfast,carbs,253,56,no,35.6,73,afternoon,9.6
171,breakfast,mixed,179,77,no,36.5,71,night,3.7
218,lunch,protein,169,78,no,35.9,87,morning,3.3
104,breakfast,fats,180,50,yes,36.5,114,afternoon,6.1
98,dinner,fats,316,35,yes,36.4,92,morning,2.5
86,snack,fats,228,24,yes,37.1,79,evening,18.4
170,dinner,fats,226,36,no,37.2,82,morning,10.1
187,breakfast,protein,308,62,yes,36.1,107,afternoon,4.6
88,dinner,protein,170,26,no,37.2,105,night,13.7
134,dinner,carbs,303,40,yes,36.8,112,morning,11.7
109,snack,carbs,262,81,yes,36.3,79,evening,19.1
226,dinner,protein,411,88,yes,36.3,100,night,6.0
109,dinner,protein,307,3,no,36.2,71,afternoon,6.9
219,snack,protein,523,46,no,36.3,110,night,14.6
173,breakfast,protein,379,86,yes,36.4,87,morning,7.4
232,snack,mixed,306,55,yes,37.1,67,afternoon,10.1
110,snack,protein,172,16,yes,36.7,116,night,10.5
231,breakfast,fats,181,13,no,36.6,83,afternoon,9.4
79,snack,carbs,305,22,yes,36.8,96,evening,10.1
70,breakfast,protein,563,1,no,36.4,109,afternoon,6.8
90,lunch,mixed,107,54,yes,35.9,90,night,8.8
232,dinner,protein,402,79,yes,37.0,76,afternoon,3.5
182,dinner,fats,400,84,no,36.4,85,evening,16.2
87,dinner,carbs,565,7,no,37.1,93,morning,16.1
202,dinner,carbs,253,58,no,36.6,101,evening,14.0
153,snack,fats,382,9,no,36.5,75,morning,14.2
